template_id,save_count,confidence,name_guess,name_guess_source,category_id,category_label,subcategory_id,subcategory_label,log_hint_fields
cb567810-cc82-424f-893f-299c704ffb12,162,high,"Credits",Items_en.m_TableData,21,"Money",,"",""
a6b4d8ab-7ec1-4561-a22e-3b87a7a08a5d,47,high,"7.62x51",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
43dfb4d7-5cf6-4cb0-908f-7111f9a33e32,40,high,"AD C+",Items_en.m_TableData,17,"",53,"Grinder disc",""
156fe687-ac99-4003-9d05-5c5411cd6bac,35,high,"7.61x54R",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
deeb8cc6-ef24-4194-8139-ffe155d1b87f,32,high,"5.45x39 AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
576d4cfc-3709-4c1a-89af-f2202dc78c93,31,high,"12x70 AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
0e9060f6-f0d4-4f62-9457-c9165a959b4d,30,high,"57x28",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
2c82b4f8-4b5a-4c5a-a8e8-0d23b1cfb8f3,30,high,".300 AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
53b23ada-ed4e-4d6b-b28d-0ab912a39777,30,high,".454",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
3853e916-f0eb-441f-9584-6416afb5607c,28,high,"7.61x54R AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
d257930e-de98-4295-8c77-ab1a026bec84,26,high,".50BMG",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
610a082d-33bd-460b-bb88-ef3151b583d4,25,high,"5.56x45",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
62a75f55-b71e-43e0-925e-49f8eef974b5,22,high,"M-Hardener",Items_en.m_TableData,17,"",64,"Chemicals",""
752e4ba1-1109-4ee0-88c6-195dd6d088e2,21,high,".300",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
8b73a812-ae14-4802-a72e-b97053fc351d,21,high,"Broken servomotor",Items_en.m_TableData,17,"",66,"A&D components",""
6d249ffa-bd3b-43c2-89fa-4992be7af2a9,20,high,"Mini MedKit",Items_en.m_TableData,14,"Aid Kit",90,"Aid Kit",""
a7721ae4-5bb3-4c09-8605-e18272b59ac6,20,high,"5.45x39",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
343734f4-6c77-4370-a73c-d9ccdc101a15,19,high,"Structure",Items_en.m_TableData,31,"Bodymod",69,"Modified Structure",""
e1f18110-8922-42f5-a7a6-69de9bc7cc9f,19,high,"F2",Items_en.m_TableData,10,"Grenade",21,"Grenade",""
2dd78dca-9e5c-4a20-8f02-e0803ce35dc3,18,high,"Hydraulics",Items_en.m_TableData,31,"Bodymod",71,"Modified hydraulics",""
76ad31a4-2fe1-4ca4-a2b6-a5133e776ff1,18,high,"Bodypart repair kit",Items_en.m_TableData,14,"Aid Kit",91,"Repair Kit",""
37f9075c-03c6-44f0-84d6-cd996a3b53f8,17,high,"Broken hydraulics",Items_en.m_TableData,17,"",68,"Surplus",""
1edc9f4c-448a-4338-a2ac-7ab44875c783,15,high,"Titanium multitool",Items_en.m_TableData,17,"",67,"Tools",""
9afb0f0d-42c1-49ba-9be7-7663c77904b8,15,high,"Fuel injector",Items_en.m_TableData,17,"",66,"A&D components",""
b26c003f-496e-41b3-bc6f-70beaa76ac0e,14,high,"Medium MedKit",Items_en.m_TableData,14,"Aid Kit",90,"Aid Kit",""
755fa97a-40c0-4e85-ade5-c58bc63db4dd,12,high,"Armor repair kit",Items_en.m_TableData,14,"Aid Kit",91,"Repair Kit",""
784284fc-7359-4583-81e8-c7d248a85367,12,high,"Coating",Items_en.m_TableData,31,"Bodymod",72,"Modified coating",""
ce9cde6c-a6dd-4f96-a581-fe066329ab17,12,high,"Solvent",Items_en.m_TableData,17,"",64,"Chemicals",""
d668d0fc-df69-4eda-b7c2-50c6ed818488,12,high,"AD B+",Items_en.m_TableData,17,"",53,"Grinder disc",""
f144da8e-ef8d-489c-a714-8987f5f6adcf,12,high,"Microcircuits",Items_en.m_TableData,17,"",66,"A&D components",""
13daf181-18bf-4c1d-8cf0-0d775e3257c4,11,high,"PVC",Items_en.m_TableData,17,"",62,"Materials",""
394783c8-3fa6-4573-a154-fa52921eeb15,11,high,".45ACP AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
3da54c7c-9021-4be7-a214-4856c4fac458,11,high,"Hacksaw",Items_en.m_TableData,17,"",67,"Tools",""
5283349a-7e5a-46d0-b242-1bdf9b313ce7,11,high,"Metal parts 'A'",Items_en.m_TableData,17,"",68,"Surplus",""
5eb47e12-202a-4930-b1fc-48ab5feac994,11,high,"5.56x45 AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
e6669bac-09bb-4b34-9465-3cca549756ee,11,high,"Plastic parts '1'",Items_en.m_TableData,17,"",68,"Surplus",""
ffbf47a9-d9f8-43dd-b01e-4314010f9386,11,high,"Anglegrip",Items_en.m_TableData,20,"Weapon Mod",10,"Tactical Handle",""
0696f1a4-081c-43e1-9b97-a169d8b8f497,10,high,"DefaultShelterModule",item_templates.alias,12,"Internal",93,"",""
21db0dcd-131f-461d-ba08-de7a7a78c438,10,high,"Servomotor",Items_en.m_TableData,31,"Bodymod",70,"Modified servomotor",""
32bd8cd3-a47e-4021-8cfb-b2d0b8681503,10,high,"Iron",Items_en.m_TableData,17,"",62,"Materials",""
4345a530-bd80-4844-b1bd-f0a1da5c46ba,10,high,"Money Box",Items_en.m_TableData,22,"Case",47,"Case",""
4e237596-3fc5-4cda-abc4-5d912f089362,10,high,"CO-meter",Items_en.m_TableData,17,"",66,"A&D components",""
8e95293c-26e9-4d85-9d89-f698c598aaa4,10,high,"Wires",Items_en.m_TableData,17,"",66,"A&D components",""
8efa41be-c593-4490-a6e4-b5827ed27260,10,high,"7.62x39",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",,"",""
a13b7181-fb63-4fa9-8a4d-ae3cd520bcaa,10,high,"7.62x51 AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
bb5ca07d-ad87-45c0-96da-dd153a03bcf7,10,high,"9x19 AP",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",24,"Armor Piercing Ammo",""
36ed0949-fa71-41ec-9c3b-7aaeafe73989,9,high,"M-hardener+",Items_en.m_TableData,17,"",64,"Chemicals",""
3a923f41-ec98-4088-80d8-a6bb45347e26,9,high,"PP",Items_en.m_TableData,17,"",62,"Materials",""
63b34ef0-6cb4-4f85-9e9d-28e2873841e3,9,high,"P-hardener +",Items_en.m_TableData,17,"",64,"Chemicals",""
dbd3de0b-2917-444f-87dc-9385bf233a90,9,high,"Ammo Box",Items_en.m_TableData,22,"Case",47,"Case",""
fa6a54bf-42ec-48f9-bca9-9c6c06ba2c14,9,high,"Item box",Items_en.m_TableData,22,"Case",47,"Case",""
fd72a971-80d2-4dd3-9d56-22dbbd066642,9,high,"Lockpick_01",item_templates.alias,23,"Key",99,"Lockpick",""
34f196ef-5fb2-4c86-80bb-fddf659bca8e,8,high,"Aluminum",Items_en.m_TableData,17,"",62,"Materials",""
413a4f7c-a72a-4d94-960b-f2955a4931bd,8,high,"GT injector",Items_en.m_TableData,17,"",66,"A&D components",""
67d47d16-5a14-4f20-a8c8-3597dab8be55,8,high,"N69",Items_en.m_TableData,10,"Grenade",21,"Grenade",""
7740d993-3ac8-43df-bd92-a07185904192,8,high,"Steel",Items_en.m_TableData,17,"",62,"Materials",""
9490b7a6-b39e-4070-b630-b2f676030904,8,high,"Multimeter",Items_en.m_TableData,17,"",67,"Tools",""
130fb09a-5dc8-4b81-b139-991262ca2747,7,high,"Metal powder 'A'",Items_en.m_TableData,17,"",62,"Materials",""
1d9ed76a-63d1-4eac-acc7-6207300fd767,7,high,"Gunpowder 'S'",Items_en.m_TableData,17,"",64,"Chemicals",""
2fb4db35-c36d-40a8-9ea9-601329acd001,7,high,"Fertilizer",Items_en.m_TableData,17,"",64,"Chemicals",""
673aa80f-1f7d-4123-a139-a2369397b78e,7,high,"Hydraulic fluid",Items_en.m_TableData,17,"",64,"Chemicals",""
86454eec-84a2-4623-b2f0-bfba7a14d30d,7,high,"AIMBOT",Items_en.m_TableData,20,"Weapon Mod",30,"Collimator sight",""
9d1e3471-7fee-4bbc-9c60-a02dee9d1f5a,7,high,"Car jump starter",Items_en.m_TableData,17,"",67,"Tools",""
a941f3a0-0f82-400c-9bea-0f631ae7cc2c,7,high,"Microscope",Items_en.m_TableData,17,"",65,"Devices",""
c2368d09-45a6-445e-a62c-8a81603173d2,7,high,"BoostableShelterModule",item_templates.alias,12,"Internal",93,"",""
e29a82ef-6de7-4952-ba0c-8f3a632662dc,7,high,"Plastic powder '1'",Items_en.m_TableData,17,"",62,"Materials",""
ea99ffd7-8010-4cfe-bbd0-7dbbcc25b5f9,7,high,"Sensor",Items_en.m_TableData,31,"Bodymod",37,"Modified Sensor",""
fd065383-2b84-41e8-80fd-041bf8d19ab6,7,high,"Major MedKit",Items_en.m_TableData,14,"Aid Kit",90,"Aid Kit",""
0a92b724-46a9-45b9-9837-67f3b2aecf1d,6,high,"Weapon repair kit",Items_en.m_TableData,14,"Aid Kit",91,"Repair Kit",""
4c480ffa-a373-4186-a8a6-d44b99181a57,6,high,"Gold filament 'D'",Items_en.m_TableData,17,"",62,"Materials",""
63d51c44-eb2b-4746-aed4-aa6fe281d2bc,6,high,"LED lamp",Items_en.m_TableData,17,"",66,"A&D components",""
b4458dde-dcbb-4988-975e-f93fbd2c7396,6,high,"Sewing scissors",Items_en.m_TableData,17,"",67,"Tools",""
be1991bc-ef48-4d03-b71e-365c45321df1,6,high,"Reinforced cable",Items_en.m_TableData,17,"",66,"A&D components",""
c48fee09-83f8-4970-94c4-bb011e72c03b,6,high,"Soldering iron",Items_en.m_TableData,17,"",67,"Tools",""
030bc807-278d-4aed-85da-17d28b97ff65,5,high,"ES1",Items_en.m_TableData,17,"",62,"Materials",""
0490f111-c829-42fb-9f39-2535a850d909,5,high,"Small Anti-Jam Kit",Items_en.m_TableData,14,"Aid Kit",90,"Aid Kit",""
0791b0fb-40f4-4033-a5cd-cb8c77c597cf,5,high,"7.61x54R E",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",25,"Expansive Ammo",""
0ac59f1d-258f-45ea-abc8-1795cba04be9,5,high,"Scrap",Items_en.m_TableData,17,"",58,"Waste",""
1992f67b-e729-48b0-bb43-23704442bd7e,5,high,"Car battery",Items_en.m_TableData,17,"",66,"A&D components",""
3dbff59d-49a2-43be-9ffb-fa1d1e68eb62,5,high,"Scissors for metal cutting",Items_en.m_TableData,17,"",67,"Tools",""
41db58fd-c4f5-43f6-a27b-d517e23da522,5,high,"Huskalite",Items_en.m_TableData,17,"",62,"Materials",""
454aeb37-6e98-4d95-a2a5-8b654cf3e14b,5,high,"Wrench",Items_en.m_TableData,17,"",67,"Tools",""
5b8562c8-1261-435a-8889-9144b4e736e7,5,high,"Scissors",Items_en.m_TableData,17,"",67,"Tools",""
61f597b1-45d4-4ec6-b68c-e17cc20b6200,5,high,".300 E",item_templates.alias_fallback_for_localization_links,3,"Standard Ammo",25,"Expansive Ammo",""
